Movie,Year,Rating
138. All About Eve,1950,8.2 (140K)
139. Shutter Island,2010,8.2 (1.5M)
140. There Will Be Blood,2007,8.2 (650K)
141. Top Gun: Maverick,2022,8.2 (729K)
142. Jurassic Park,1993,8.2 (1.1M)
143. Casino,1995,8.2 (573K)
144. Ran,1985,8.2 (138K)
145. The Sixth Sense,1999,8.2 (1.1M)
146. Pan's Labyrinth,2006,8.2 (710K)
147. Unforgiven,1992,8.2 (442K)
148. No Country for Old Men,2007,8.2 (1.1M)
149. The Thing,1982,8.2 (476K)
150. A Beautiful Mind,2001,8.2 (999K)
151. Kill Bill: Vol. 1,2003,8.2 (1.2M)
152. The Treasure of the Sierra Madre,1948,8.2 (134K)
153. Yojimbo,1961,8.2 (133K)
154. The Great Escape,1963,8.2 (262K)
155. Monty Python and the Holy Grail,1975,8.2 (576K)
156. Finding Nemo,2003,8.2 (1.1M)
157. Prisoners,2013,8.2 (829K)
158. Howl's Moving Castle,2004,8.2 (461K)
159. Rashomon,1950,8.2 (183K)
160. The Elephant Man,1980,8.2 (262K)
161. Dial M for Murder,1954,8.2 (192K)
162. Chinatown,1974,8.1 (355K)
163. Gone with the Wind,1939,8.2 (338K)
"164. Lock, Stock and Two Smoking Barrels",1998,8.1 (623K)
165. The Secret in Their Eyes,2009,8.2 (225K)
166. Inside Out,2015,8.1 (826K)
167. V for Vendetta,2005,8.1 (1.2M)
"168. Three Billboards Outside Ebbing, Missouri",2017,8.1 (564K)
169. Raging Bull,1980,8.1 (385K)
170. Trainspotting,1996,8.1 (734K)
171. The Bridge on the River Kwai,1957,8.1 (236K)
172. Klaus,2019,8.2 (194K)
173. Catch Me If You Can,2002,8.1 (1.1M)
174. Fargo,1996,8.1 (735K)
175. Warrior,2011,8.1 (503K)
176. Spider-Man: No Way Home,2021,8.2 (904K)
177. Gran Torino,2008,8.1 (823K)
178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (963K)
179. Million Dollar Baby,2004,8.1 (729K)
180. My Neighbour Totoro,1988,8.1 (389K)
181. Mad Max: Fury Road,2015,8.1 (1.1M)
182. Children of Heaven,1997,8.2 (82K)
183. Ben-Hur,1959,8.1 (256K)
184. 12 Years a Slave,2013,8.1 (749K)
185. Before Sunrise,1995,8.1 (346K)
186. Blade Runner,1982,8.1 (833K)
187. Barry Lyndon,1975,8.1 (186K)
188. The Grand Budapest Hotel,2014,8.1 (900K)
189. Hacksaw Ridge,2016,8.1 (609K)
190. Gone Girl,2014,8.1 (1.1M)
191. Maharaja,2024,8.6 (44K)
192. Dead Poets Society,1989,8.1 (559K)
193. Memories of Murder,2003,8.1 (224K)
194. In the Name of the Father,1993,8.1 (189K)
195. The Gold Rush,1925,8.1 (120K)
"196. Monsters, Inc.",2001,8.1 (995K)
197. Wild Tales,2014,8.1 (220K)
198. The Deer Hunter,1978,8.1 (367K)
199. The General,1926,8.1 (99K)
200. Jaws,1975,8.1 (673K)
201. Sherlock Jr.,1924,8.2 (58K)
202. How to Train Your Dragon,2010,8.1 (814K)
203. Ratatouille,2007,8.1 (846K)
204. On the Waterfront,1954,8.1 (167K)
205. Mary and Max,2009,8.1 (189K)
206. The Wages of Fear,1953,8.1 (68K)
207. Wild Strawberries,1957,8.1 (117K)
208. The Third Man,1949,8.1 (184K)
209. Le Mans '66,2019,8.1 (494K)
210. Mr. Smith Goes to Washington,1939,8.1 (123K)
211. Tokyo Story,1953,8.1 (70K)
212. Logan,2017,8.1 (859K)
213. Rocky,1976,8.1 (639K)
214. The Big Lebowski,1998,8.1 (870K)
215. The Seventh Seal,1957,8.1 (202K)
216. Room,2015,8.1 (457K)
217. Spotlight,2015,8.1 (507K)
218. The Terminator,1984,8.1 (939K)
219. Hotel Rwanda,2004,8.1 (375K)
220. Platoon,1986,8.1 (445K)
221. La haine,1995,8.1 (201K)
222. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.2M)
223. Before Sunset,2004,8.1 (293K)
224. The Passion of Joan of Arc,1928,8.1 (62K)
225. Jai Bhim,2021,8.7 (220K)
226. The Best Years of Our Lives,1946,8.1 (72K)
227. The Exorcist,1973,8.1 (463K)
228. Rush,2013,8.1 (521K)
229. The Incredibles,2004,8.0 (825K)
230. Network,1976,8.1 (173K)
231. The Wizard of Oz,1939,8.1 (434K)
232. Stand by Me,1986,8.1 (449K)
233. Hachi: A Dog's Tale,2009,8.1 (317K)
234. The Sound of Music,1965,8.1 (265K)
235. My Father and My Son,2005,8.2 (94K)
236. The Handmaiden,2016,8.1 (178K)
237. To Be or Not to Be,1942,8.1 (44K)
238. Into the Wild,2007,8.1 (665K)
239. The Battle of Algiers,1966,8.1 (67K)
240. The Grapes of Wrath,1940,8.1 (101K)
241. Groundhog Day,1993,8.0 (695K)
242. The Iron Giant,1999,8.1 (233K)
243. Amores perros,2000,8.0 (255K)
244. Rebecca,1940,8.1 (149K)
245. The Help,2011,8.1 (500K)
246. Cool Hand Luke,1967,8.1 (191K)
247. It Happened One Night,1934,8.1 (114K)
"248. Paris, Texas",1984,8.1 (123K)
249. Aladdin,1992,8.0 (476K)
250. Gangs of Wasseypur,2012,8.2 (105K)
